"Year","Total","mwt.0","mwt.1","mwt.2","ot.0","ot.1","ot.2","index"
1967,81737,NA,NA,NA,NA,NA,NA,NA
1968,3279,NA,NA,NA,NA,NA,NA,NA
1969,59350,NA,NA,NA,NA,NA,NA,NA
1970,6515,NA,NA,NA,NA,NA,NA,NA
1971,15903,NA,NA,NA,NA,NA,NA,NA
1972,760,NA,NA,NA,NA,NA,NA,NA
1973,5896,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA
1975,2819,NA,NA,NA,NA,NA,NA,NA
1976,658,NA,NA,NA,NA,NA,NA,NA
1977,210,NA,NA,NA,NA,NA,NA,NA
1978,6619,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA
1980,31184,190790,1386,2572,128321,142,106,NA
1981,2202,1959,51372,644,4139,11837,122,NA
1982,62905,299069,9785,2307,257965,3070,1005,NA
1983,11864,33651,296253,2865,23860,142861,917,NA
1984,7408,29218,25463,4082,44329,29399,5767,NA
1985,992,2895,58525,2693,11787,12626,1185,NA
1986,6160,24908,12524,2479,12070,2784,288,NA
1987,1520,2872,33471,2287,1984,7174,1284,NA
1988,791,1724,18360,4921,1094,4323,2220,NA
1989,456,1137,6595,1514,971,2179,369,NA
1990,243,745,2776,1058,681,386,317,NA
1991,134,131,3852,541,245,474,161,NA
1992,76,370,1134,86,620,448,218,NA
1993,798,5086,811,22,7006,53,0,NA
1994,545,NA,16515,349,2847,4207,479,NA
1995,8205,555398,NA,NA,152973,791,504,1.69863516085095
1996,1346,666,NA,NA,11045,4153,248,9.03830047092048
1997,690,4585,6863,1789,10692,3706,1075,43.6536351073206
1998,6654,62853,6240,1120,20605,197,89,3.24128602200991
1999,5243,59040,17546,895,57980,6827,600,18.8430679581449
2000,3437,12326,12132,1168,16079,1841,240,85.6221587606335
2001,247,2107,10707,1154,812,15507,954,60.0653511706755
2002,707,1173,2472,1900,18132,1070,1604,212.210900702981
2003,467,230,2558,186,4007,6339,1292,39.0194996936248
2004,191,1307,2030,486,3529,4323,886,20.3362229551155
2005,129,617,3487,545,8459,4074,593,7.08300719372733
2006,1949,2780,1342,91,21517,1379,285,1.44132247530842
2007,13,441,1351,79,3636,5156,815,6.07892685524174
2008,139,1207,218,230,6155,343,162,24.2379156379911
2009,65,323,3485,75,971,10317,469,17.7451310567353
2010,191,867,599,114,628,1373,280,16.3822009260383
2011,477,1404,950,106,14261,7134,503,2.99999356794643
2012,61,398,5353,1106,2170,840,360,6.92818171698738
2013,164,1445,647,324,15545,574,277,39.3418004125071
2014,16,1194,615,0,1300,519,63,6.79993257818646
2015,4,231,403,44,536,693,196,1.41442208830939
2016,7,NA,NA,NA,NA,NA,NA,2.83573669037532
2017,141,1929,161,49,5966,0,30,1.27319449699278
2018,52,NA,NA,NA,3387,NA,NA,1.8036515582218
2019,44,NA,NA,NA,16196,1042,146,2.59469233278554
2020,28,837,NA,NA,12109,NA,NA,2.7996257725012
2021,323,NA,NA,NA,NA,NA,NA,5.04643316311293
